Workout_ID,Date,Exercise_ID,Sets,Repetitions,Lowest_Weight,Highest_Weight,Time_Spent_mins,Week_ID,Comments
0,1/3/2023,10002,3,5,275,295,45,100001,"feel a left side tweak, possibly let go of breathe too soon during mid lift"
1,1/3/2023,10011,3,8,50,60,10,100001,50-55-60
2,1/3/2023,10012,3,8,40,40,10,100001,40-40-40
3,1/3/2023,10013,3,8,76,120,10,100001,76-120-76
4,1/5/2023,10003,3,5,225,225,30,100001,"(5 5 4) squat all way down for stretch reflex, Last set left some in the tank"
5,1/5/2023,10004,3,5,135,185,20,100001,"setup, make sure to squeeze elbows before descent and drive from heel"
6,1/5/2023,10007,3,5,345,345,20,100001,
7,1/5/2023,10008,3,8,55,55,10,100001,
8,1/6/2023,10000,3,5,115,125,0,100001,skipped
9,1/6/2023,10001,3,5,275,295,0,100001,skipped
10,1/6/2023,10005,3,8,75,75,0,100001,skipped
11,1/6/2023,10006,3,8,110,125,0,100001,skipped
12,1/10/2023,10002,3,5,305,305,0,100002,skipped
13,1/10/2023,10011,3,8,50,50,0,100002,skipped
14,1/10/2023,10012,3,8,40,45,0,100002,skipped
15,1/10/2023,10013,3,8,120,120,0,100002,skipped
16,1/11/2023,10003,3,5,225,225,20,100002,
17,1/11/2023,10004,3,5,185,190,20,100002,
18,1/11/2023,10010,3,8,100,100,10,100002,
19,1/11/2023,10009,3,8,50,50,10,100002,
20,1/13/2023,10000,3,5,115,125,20,100002,
21,1/13/2023,10001,3,5,295,295,45,100002,
22,1/13/2023,10005,3,8,75,75,10,100002,
23,1/13/2023,10006,3,8,110,125,10,100002,
24,1/17/2023,10002,3,5,305,305,45,100003,"deep breath, make sure to control descent. Make sure elbows tucked and pulling slack before pushing. Slight left tweak again, may be from placing heavy weight on rack,, "
25,1/17/2023,10011,3,8,50,50,10,100003,
26,1/17/2023,10012,3,8,40,45,10,100003,
27,1/17/2023,10013,3,8,120,120,10,100003,
28,1/20/2023,10003,3,5,225,225,30,100003,
29,1/20/2023,10004,3,8,185,195,20,100003,bench a bit off since squeezed in ohp from missed gym day
30,1/20/2023,10007,3,5,355,355,20,100003,
31,1/20/2023,10008,3,8,55,55,10,100003,
32,1/20/2023,10000,3,5,115,130,0,100003,skipped
33,1/20/2023,10001,3,3,275,315,0,100003,skipped
34,1/20/2023,10005,3,8,70,70,0,100003,skipped
35,1/20/2023,10006,3,8,120,120,0,100003,skipped
36,1/26/2023,10002,3,5,315,315,45,100004,"235-285-315 tried resetting each time, last set tweaked my back on third rep probably ran out of breath, need to use belt now."
37,1/26/2023,10011,3,8,50,50,10,100004,
38,1/26/2023,10012,3,8,40,40,10,100004,
39,1/26/2023,10013,3,8,120,120,10,100004,
40,1/27/2023,10000,3,5,115,130,0,100004,skipped
41,1/27/2023,10001,3,3,275,315,0,100004,skipped
42,1/27/2023,10005,3,8,70,70,0,100004,skipped
43,1/27/2023,10006,3,8,120,120,0,100004,skipped
44,1/27/2023,10003,3,3,225,225,0,100004,skipped
45,1/27/2023,10004,3,5,185,195,0,100004,skipped
46,1/27/2023,10009,3,8,90,100,0,100004,skipped
47,1/27/2023,10010,3,8,50,50,0,100004,skipped
48,1/31/2023,10000,3,5,115,130,20,100005,easier with flat shoes than squat shoes
49,1/31/2023,10001,3,3,275,315,40,100005, take a deep breath then cock legs with brace
50,1/31/2023,10005,3,8,70,70,10,100005,
51,1/31/2023,10006,3,8,120,120,10,100005,
52,2/3/2023,10002,3,3,275,325,30,100005,
53,2/3/2023,10011,3,8,50,50,0,100005,skipped
54,2/3/2023,10012,3,8,40,40,0,100005,skipped
55,2/3/2023,10013,3,8,120,120,0,100005,skipped
56,2/3/2023,10003,3,3,225,225,30,100005,"narrow stance don’t point out feet too much, Look straight, keep upright, make sure to lower down twice and use stretch reflex to get back up"
57,2/3/2023,10004,3,5,185,195,20,100005,
58,2/3/2023,10009,3,8,90,100,10,100005,
59,2/3/2023,10010,3,8,50,50,10,100005,
60,2/7/2023,10002,3,3,275,325,40,100006,"Reset each rep, pull slack and adjust hand grips, Narrower stance less angle out"
61,2/7/2023,10011,3,8,50,50,10,100006,
62,2/7/2023,10012,3,8,40,40,10,100006,
63,2/7/2023,10013,3,8,120,120,10,100006,
64,2/9/2023,10003,3,3,225,225,30,100006,
65,2/9/2023,10004,3,5,185,205,20,100006,"bench uneven to create enough tension for even repetitive reps, need bigger arch"
66,2/9/2023,10007,3,5,315,365,20,100006,
67,2/9/2023,10008,3,8,60,60,10,100006,
68,2/10/2023,10000,3,5,115,135,25,100006,
69,2/10/2023,10001,3,3,275,325,40,100006,
70,2/10/2023,10005,3,8,70,70,0,100006,skipped
71,2/10/2023,10006,3,8,120,120,10,100006,
72,2/15/2023,10003,3,3,225,225,30,100007,"work on stretch reflex, double descent before ascent"
73,2/15/2023,10004,3,5,185,205,25,100007,"Narrower stance, get good grip on bar"
74,2/15/2023,10009,3,8,55,55,10,100007,
75,2/15/2023,10010,3,8,90,100,10,100007,
76,2/16/2023,10002,3,3,275,335,40,100007,
77,2/16/2023,10011,3,8,50,50,10,100007,
78,2/16/2023,10012,3,8,40,40,10,100007,
79,2/16/2023,10013,3,8,120,120,10,100007,
80,2/17/2023,10000,3,5,95,115,20,100007,
81,2/17/2023,10001,3,3,275,345,40,100007,"almost fell back on 315, belt up, back acting up a bit"
82,2/17/2023,10005,3,8,70,70,0,100007,skipped
83,2/17/2023,10006,3,8,120,120,15,100007,
84,2/21/2023,10002,3,3,275,345,40,100008,"need to brace more, Bit of a struggle getting off ground at working set"
85,2/21/2023,10011,3,8,50,50,10,100008,
86,2/21/2023,10012,3,8,40,40,10,100008,
87,2/21/2023,10013,3,8,120,120,10,100008,
88,2/22/2023,10000,3,5,115,115,0,100008,skipped
89,2/22/2023,10003,3,3,225,225,0,100008,skipped
90,2/22/2023,10004,3,5,185,185,0,100008,skipped
91,2/22/2023,10007,3,5,315,375,0,100008,skipped
92,2/22/2023,10008,3,8,50,60,0,100008,skipped
93,2/23/2023,10001,3,3,275,345,40,100008,"Huge breath, brace from top down, in same breathe pull slack first then pull"
94,2/23/2023,10005,3,8,70,70,10,100008,
95,2/23/2023,10006,3,8,120,120,10,100008,
96,2/28/2023,10002,3,3,275,355,45,100009,"Resetting after each rep, need to brace and breathe more; Couldn’t get 355, leverages feel off today"
97,2/28/2023,10011,3,8,50,50,10,100009,
98,2/28/2023,10012,3,8,40,40,10,100009,
99,2/28/2023,10013,3,8,120,120,10,100009,
100,3/2/2023,10001,3,3,315,365,45,100009,"315-335-355-365 bit dizzy after 315 warm ups, Deep breath and get correct positioning first. For last set, deload with straps and focus on concentric slow let down, "
101,3/2/2023,10005,3,8,75,75,10,100009,
102,3/2/2023,10006,3,8,120,120,10,100009,
103,3/3/2023,10000,3,5,115,115,20,100009,
104,3/3/2023,10003,3,3,225,225,30,100009,
105,3/3/2023,10004,3,5,185,185,25,100009,
106,3/3/2023,10007,3,5,375,375,15,100009,
107,3/3/2023,10008,3,8,50,60,10,100009,
108,3/7/2023,10002,3,3,275,345,45,100010,tried to do deadlift panda technique but doesn’t have enough slack pull with double overhand hook
109,3/7/2023,10011,3,8,50,50,10,100010,
110,3/7/2023,10012,3,8,40,40,10,100010,
111,3/7/2023,10013,3,8,120,120,10,100010,
112,3/9/2023,10001,3,3,275,375,45,100010,"Setup feet, pull slack, then adjust feet, once adjust feet then pull bar closer to feet afterwards take a deep breath at higher plane then tighten upper shoulders keep brace and then pull slack as much as possible before cocking legs all in same breathe"
113,3/9/2023,10005,3,8,70,70,10,100010,
114,3/9/2023,10006,3,8,120,120,10,100010,
115,3/11/2023,10000,3,5,115,115,20,100010,
116,3/11/2023,10003,3,3,225,225,30,100010,
117,3/11/2023,10004,3,5,185,185,20,100010,
118,3/11/2023,10009,3,8,55,55,10,100010,
119,3/11/2023,10010,3,8,100,100,10,100010,
120,3/14/2023,10002,3,3,315,355,45,100011,"355 misssed first time, belt was too tight and pulled slack too hard, second time relied more on breath and bracing to push off floor. Also make sure to chalk the bar on top of chalking hands"
121,3/14/2023,10011,3,8,55,60,10,100011,
122,3/14/2023,10012,3,8,40,40,10,100011,
123,3/14/2023,10013,3,8,120,120,10,100011,
124,3/16/2023,10001,3,3,315,385,45,100011,
125,3/16/2023,10005,3,8,75,75,10,100011,
126,3/16/2023,10006,3,5,120,120,10,100011,"switched to pull ups, 3x5 2 sets wide; 1 set narrow; Did breathing technique while pulling up which helped but don’t have a great grip overall for hanging"
127,3/17/2023,10000,3,5,115,115,20,100011,"brought wrong shoes, flat instead of squat, leaned more forward for starting position"
128,3/17/2023,10003,3,3,225,225,30,100011,
129,3/17/2023,10004,3,5,185,185,20,100011,
130,3/17/2023,10007,3,5,385,385,25,100011,
131,3/17/2023,10008,3,8,60,60,10,100011,
132,3/21/2023,10002,3,3,315,365,45,100012,"Setup per normal, pull slack without jerking, then angle our feet, don’t move bar then hang over bar make sure arms are tight, then deep breath, pull slack within that breathe no jerking and then push off floor with cock legs. Tie up shoes tighter closer to heel of shoe"
133,3/21/2023,10011,3,8,50,60,10,100012,
134,3/21/2023,10012,3,8,40,40,10,100012,
135,3/21/2023,10013,3,8,120,120,10,100012,
136,3/23/2023,10001,3,3,315,395,45,100012,"left part of bar uneven, left shoulder compensated more than usual, 395, small struggle a bit, didn’t pull enough slack. Didn’t try to warm up correctly skipped from 135 to 225. Thumb not in great position. Back had to take a bit of a hit. Rush of time because car wash took longer than expected"
137,3/23/2023,10005,3,8,70,70,10,100012,
138,3/23/2023,10006,3,8,120,120,10,100012,
139,3/25/2023,10000,3,5,115,115,25,100012,narrower grip
140,3/25/2023,10003,3,3,225,225,30,100012,"middle grip, grip closer in to create a better upper back shelf"
141,3/25/2023,10004,3,5,185,185,20,100012,
142,3/25/2023,10009,3,8,60,60,10,100012,
143,3/25/2023,10010,3,8,100,100,10,100012,
144,3/28/2023,10002,3,3,315,375,45,100013,make sure to tighten shoes with heel to tie with front up
145,3/28/2023,10011,3,8,50,60,10,100013,
146,3/28/2023,10012,3,8,40,40,10,100013,
147,3/28/2023,10013,3,8,120,120,10,100013,
148,3/29/2023,10000,3,5,115,125,30,100013,
149,3/29/2023,10003,3,3,225,225,30,100013,"narrower grip, easier to keep tightness and control"
150,3/29/2023,10004,3,5,185,185,25,100013,"narrower grip, middle finger on smooth knurlling, wider stance"
151,3/29/2023,10007,3,5,395,395,25,100013,
152,3/29/2023,10008,3,8,65,65,10,100013,
153,3/30/2023,10001,3,3,315,405,60,100013,"can’t keep tightness and bar straight for proper leg drive. Possibly fatigued from last 2 days doing hook grip for conventional(375) and shoulder shrug (405). Needed to be more patient with getting proper position, then proper full breath, tightness, pull full slack out twice in same breath and leg drive. Hit 405 after getting correct positioning, not that bad overall no pain"
154,3/30/2023,10005,3,8,70,70,10,100013,
155,3/30/2023,10006,3,8,120,120,10,100013,
156,4/3/2023,10002,3,3,315,385,45,100014,
157,4/3/2023,10011,3,8,55,60,10,100014,
158,4/3/2023,10012,3,8,40,40,10,100014,
159,4/3/2023,10013,3,8,120,120,10,100014,
160,4/5/2023,10000,3,3,115,130,25,100014,tweaked cervical  c1-c2 doing ohp warm ups
161,4/5/2023,10003,5,3,225,225,35,100014,"measure our thumb to smooth part, move out thumb a bit from there, make sure elbows are even; right elbow tends to be more back rather than forward. Feel imbalance and left arm not being in same way as right leading to some twisting and imbalance on descent. Possibly why left glute feels weird lately"
162,4/5/2023,10004,3,5,185,195,25,100014,"can’t find great positioning. wider stance beyond shoulders, point feet 45 angle, when setting up make sure to keep most of breathe and tightness before making arch, breathe again slightly to setup for descent. Make sure glutes aren’t flat on bench, slightly off but still touching"
163,4/5/2023,10009,3,8,100,100,10,100014,
164,4/5/2023,10010,3,8,60,60,10,100014,
165,4/6/2023,10001,3,3,315,395,60,100014,395 used too much energy and didn’t pull slack enough with leg drive so back took a bit of the hit. Was able to get the bar off the floor maybe an inch or two with 415 so it’s possible
166,4/6/2023,10005,3,8,70,70,10,100014,
167,4/6/2023,10006,3,8,120,120,10,100014,
168,4/11/2023,10002,3,5,275,315,45,200015,"rushed worked out, need to warm up properly and be tighter, breathing was off and couldn’t pull slack efficiently where leg drive was evident"
169,4/11/2023,10011,3,8,55,60,10,200015,
170,4/11/2023,10012,3,8,40,40,10,200015,
171,4/11/2023,10013,3,8,120,120,10,200015,
172,4/12/2023,10000,3,5,115,125,25,200015,
173,4/12/2023,10003,3,3,225,225,30,200015,"Position thumb to top part of bar, make sure shoulders are a bit raised and tight and bring chest to bar, from there angle feet out keep elbows close then take deep breath to grip underneath bar. When under bar, setup angles out feet, fix head position looking up, deep breathe, keep elbows close and squeeze abdominals down, once descent to bottom, descent again lower then push off"
174,4/12/2023,10004,3,5,185,195,25,200015,"wider stance point feet 45 angle, make sure inner legs and heel is engaged, keep within same breath and don’t leave butt on too much of bench. Started bench first because squat bar not open"
175,4/12/2023,10007,3,5,405,405,25,200015,
176,4/12/2023,10008,3,8,70,70,10,200015,
177,4/13/2023,10001,3,3,315,395,60,200015,"395, misses first rep because of positioning and not using enough leg drive. 415, got off ground but positioning is off and not getting full breathe and tightness: second attempt couldn’t get great slack pull"
178,4/13/2023,10005,3,8,70,70,10,200015,
179,4/13/2023,10006,3,8,120,140,10,200015,
180,4/18/2023,10002,3,3,275,315,45,300016,"can’t get the right positioning, lowering the weight for now so don’t injure self. Need to make sure pull slack all the way before lifting bar off with leg cocking. For lifting straps, get in regular positioning then make sure to get right tightness then take a deep breath tighten elbows and abdominals pushing down, pull slack all the way then cock legs. Focusing on pushing off floor and getting tightness correct then slowly setting the weight down"
181,4/18/2023,10011,3,8,55,60,10,300016,
182,4/18/2023,10012,3,8,40,40,10,300016,
183,4/18/2023,10013,3,8,120,120,10,300016,
184,4/20/2023,10000,3,5,125,130,25,300016,"took a deep breath for 130, remained tight but right side of oblique acted up a bit, may need to belt up"
185,4/20/2023,10003,3,3,225,225,30,300016,"really don’t think wider stance helps since I have cave in issues, stick to narrow"
186,4/20/2023,10004,3,3,200,205,25,300016,"tried out bands, works pretty well and chalking up helps for the working sets"
187,4/20/2023,10009,3,8,60,60,10,300016,
188,4/20/2023,10010,3,8,100,100,10,300016,
189,4/20/2023,10001,3,3,315,375,45,300016,failed (405)
190,4/20/2023,10005,3,8,70,70,10,300016,
191,4/20/2023,10006,3,8,120,120,10,300016,
192,4/25/2023,10002,3,3,315,365,45,400017,"narrower stance, more forward lean then have arms close to legs,  breathe deep, brace, grip,and push off back. Tighten belt all the way"
193,4/25/2023,10011,3,8,55,60,10,400017,
194,4/25/2023,10012,3,8,40,40,10,400017,
195,4/25/2023,10013,3,8,120,120,10,400017,
196,4/27/2023,10000,3,5,125,135,30,400017,"chalked up, pushed slack off, kept feet to together and huge breath"
197,4/27/2023,10003,3,5,225,225,30,400017,"place thumbs horizontal middle of knurling, upper part rather than middle vertical  , adjust tightness on shoulders then position chest close to bar, deep breath, close stance narrow similar to conventional. Speed was greater when narrower stance"
198,4/27/2023,10004,3,5,185,210,25,400017,"couldn’t get proper grip for 210, hands probably taxed from deadlift and ohp, even with chalk also uses flat shoes"
199,4/27/2023,10008,3,8,70,70,0,400017,skipped
200,4/27/2023,10010,3,8,100,100,0,400017,skipped
201,4/27/2023,10001,3,3,315,390,45,400017,"Bit taxed from squats and shoulders, Perhaps leaned too forward for sumo, try to be more upright?"
202,4/27/2023,10005,3,8,70,70,0,400017,skipped
203,4/27/2023,10006,3,8,120,120,0,400017,skipped
204,5/2/2023,10002,3,3,315,370,45,500018,
205,5/2/2023,10011,3,8,55,65,10,500018,
206,5/2/2023,10012,3,8,40,40,10,500018,
207,5/2/2023,10013,3,8,120,120,10,500018,
208,5/3/2023,10000,3,5,125,135,30,500018,"135, need to belt, middle of lower back was tweaking a bit"
209,5/3/2023,10003,3,5,225,225,30,500018,"have feet planted more straighter, then as descending point our feet, every rep reset to feet being straighter"
210,5/3/2023,10004,3,5,205,215,30,500018,
211,5/3/2023,10009,3,8,65,65,10,500018,
212,5/3/2023,10010,3,8,100,100,0,500018,skipped
213,5/4/2023,10001,3,3,315,315,40,500018,forgot to log workout
214,5/4/2023,10005,3,8,70,70,10,500018,forgot to log workout
215,5/4/2023,10006,3,8,120,120,10,500018,forgot to log workout
216,5/9/2023,10002,5,1,315,315,45,600019,"first rep raw, other reps using strap and belt"
217,5/9/2023,10011,3,8,55,65,0,600019,skipped
218,5/9/2023,10012,3,8,40,40,0,600019,skipped
219,5/9/2023,10013,3,8,120,120,0,600019,skipped
220,5/10/2023,10000,3,4,125,125,25,600019,"Keep tightness, use leg drive, don’t narrow grip too much"
221,5/10/2023,10003,3,5,225,225,30,600019,"narrow foot stance, every rep make sure to adjust weight over foot and feet are reset for pointing out"
222,5/10/2023,10004,3,3,185,195,25,600019,can’t find good positioning
223,5/10/2023,10007,3,5,315,365,25,600019,
224,5/10/2023,10008,3,8,70,70,10,600019,
225,5/11/2023,10001,5,2,315,315,45,600019,"feet placement between outer ring and inner smooth grip. Secure strap on bar, have shoulders tightened beforehand and then take deep breath at a angle where leg drive is possible"
226,5/11/2023,10005,3,8,70,70,10,600019,
227,5/11/2023,10006,3,8,120,120,10,600019,
228,5/16/2023,10002,3,3,315,315,45,700020,all sets with grip tape. Next session just use regular grip for working sets then use grip tape for sets after that
229,5/16/2023,10011,3,8,55,65,10,700020,
230,5/16/2023,10012,3,8,40,40,10,700020,
231,5/16/2023,10013,3,8,120,120,0,700020,skipped
232,5/17/2023,10000,3,3,135,135,30,700020,
233,5/17/2023,10003,3,3,225,285,40,700020,used knee sleeves. Belted for heaviest set
234,5/17/2023,10004,3,5,185,225,30,700020,Not too narrow in positioning but keep feet vertical with slight angle
235,5/17/2023,10009,3,8,100,100,10,700020,deep breathe before getting on
236,5/17/2023,10010,3,8,70,70,10,700020,
237,5/18/2023,10001,3,3,315,365,50,700020,395 failed (x3) perhaps don’t move bar?
238,5/18/2023,10005,3,8,70,70,10,700020,
239,5/18/2023,10006,3,8,120,120,0,700020,skipped - did pull ups 3x5
240,5/23/2023,10002,3,3,315,365,0,800021,skipped - Alex wedding
241,5/23/2023,10011,3,8,60,65,0,800021,skipped - Alex wedding
242,5/23/2023,10012,3,8,40,40,0,800021,skipped - Alex wedding
243,5/23/2023,10013,3,8,120,150,0,800021,skipped - Alex wedding
244,5/24/2023,10000,3,5,115,135,0,800021,skipped - Alex wedding
245,5/24/2023,10003,3,5,225,275,0,800021,skipped - Alex wedding
246,5/24/2023,10004,3,5,185,210,0,800021,skipped - Alex wedding
247,5/24/2023,10007,3,8,315,315,0,800021,skipped - Alex wedding
248,5/24/2023,10008,3,8,70,70,0,800021,skipped - Alex wedding
249,5/25/2023,10001,3,3,315,365,0,800021,skipped - Alex wedding
250,5/25/2023,10005,3,8,120,120,0,800021,skipped - Alex wedding
251,5/25/2023,10006,3,8,70,70,0,800021,skipped - Alex wedding
252,6/1/2023,10002,3,3,315,365,45,900022,365 used tape and set after. Squeeze thumbs and pull slack more to get off the floor
253,6/1/2023,10011,3,8,60,65,10,900022,
254,6/1/2023,10012,3,8,40,40,10,900022,
255,6/1/2023,10013,3,8,120,150,10,900022,
256,6/2/2023,10000,3,5,115,135,30,900022,
257,6/2/2023,10003,3,5,225,275,30,900022,
258,6/2/2023,10004,3,5,185,210,25,900022,
259,6/2/2023,10007,3,8,315,315,20,900022, straps
260,6/2/2023,10008,3,8,70,70,10,900022,
261,6/3/2023,10001,3,3,315,365,45,900022,
262,6/3/2023,10005,3,8,120,120,10,900022,
263,6/3/2023,10014,3,8,85,85,10,900022,
264,6/6/2023,10002,3,3,315,315,45,1000023,
265,6/6/2023,10011,3,8,50,50,10,1000023,
266,6/6/2023,10012,3,8,40,40,10,1000023,
267,6/6/2023,10013,3,8,120,120,0,1000023,skipped
268,6/8/2023,10001,3,3,315,315,45,1000023,
269,6/8/2023,10005,3,8,120,120,10,1000023,
270,6/8/2023,10014,3,8,85,85,10,1000023,
271,6/10/2023,10000,3,5,115,135,30,1000023,
272,6/10/2023,10003,3,5,225,225,30,1000023,no sleeves
273,6/10/2023,10004,3,5,185,185,25,1000023,
274,6/10/2023,10009,3,8,60,60,10,1000023,
275,6/10/2023,10010,3,8,100,100,10,1000023,
276,6/13/2023,10002,3,3,315,315,45,1100024,
277,6/13/2023,10011,3,8,55,60,10,1100024,
278,6/13/2023,10012,3,8,50,50,10,1100024,
279,6/13/2023,10013,3,8,150,150,10,1100024,
280,6/15/2023,10001,3,3,315,365,45,1100024,failed (385)
281,6/15/2023,10005,3,8,120,120,10,1100024,
282,6/15/2023,10014,3,8,85,85,10,1100024,
283,6/17/2023,10000,3,8,115,135,0,1100024,skipped
284,6/17/2023,10003,3,5,225,225,0,1100024,skipped
285,6/17/2023,10004,3,5,185,185,0,1100024,skipped
286,6/17/2023,10007,3,5,315,365,0,1100024,skipped
287,6/17/2023,10008,3,8,70,70,0,1100024,skipped
288,6/20/2023,10002,3,3,315,365,45,1200025,
289,6/20/2023,10011,3,8,50,50,10,1200025,
290,6/20/2023,10012,3,8,40,40,10,1200025,
291,6/20/2023,10013,3,8,120,160,10,1200025,
292,6/22/2023,10000,3,8,115,135,30,1200025,
293,6/22/2023,10003,3,5,225,225,30,1200025,
294,6/22/2023,10004,3,5,185,185,25,1200025,
295,6/22/2023,10007,3,5,315,365,20,1200025,
296,6/22/2023,10008,3,8,70,70,10,1200025,
297,6/24/2023,10001,3,3,315,315,45,1200025,
298,6/24/2023,10006,3,8,120,120,10,1200025,
299,6/24/2023,10014,3,8,85,85,10,1200025,
300,6/27/2023,10002,3,3,315,315,45,1300026,
301,6/27/2023,10011,3,8,55,60,10,1300026,
302,6/27/2023,10012,3,8,40,40,10,1300026,
303,6/27/2023,10013,3,8,120,120,0,1300026,skipped
